tpep_pickup_datetime,tpep_dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
00:19.0,10:36.0,40.75006866,-73.99049377,40.72912598,-74.00518799
00:19.0,05:29.0,40.76387024,-73.97671509,40.74848557,-73.9864502
00:19.0,14:15.0,40.70462418,-74.00883484,40.70769882,-73.95063782
00:19.0,07:25.0,0,0,0,0
00:19.0,38:59.0,40.64502335,-73.78111267,-73.9716568,NULL
00:20.0,16:49.0,40.67737198,-73.94150543,40.69514084,-73.91065216
00:20.0,03:58.0,40.7701416,-73.86369324,40.77378845,-73.87438202
00:20.0,12:02.0,40.73126984,-73.97416687,40.7340889,-74.00267792
00:20.0,12:40.0,40.77631378,-73.98228455,40.78023529,-73.95305634
00:20.0,04:09.0,40.72062302,-73.99707794,40.71258926,-74.00937653
00:20.0,13:09.0,40.73285294,-73.98614502,40.75016785,-73.99140167
00:20.0,05:54.0,40.74684143,-73.99002838,40.76066208,-73.98622131
00:20.0,07:23.0,40.74774551,-73.97364044,40.72934723,-73.98709106
00:20.0,27:30.0,40.75437927,-73.97716522,40.73204422,-73.71138763
00:20.0,13:21.0,40.71710205,-73.98978424,40.73122406,-73.98860168
00:21.0,07:53.0,40.74492645,-73.97601318,40.75495148,-73.991539
00:21.0,23:27.0,40.81573868,-73.93684387,40.74001312,-73.99861145
00:21.0,14:25.0,40.7294693,-73.97792816,40.71875,-73.98841095
00:21.0,16:02.0,40.72494888,-73.99252319,40.71104813,-73.94973755
00:21.0,10:58.0,40.76032639,-73.98895264,40.78481674,-73.98094177
00:21.0,21:18.0,40.76759338,-73.98191071,40.75112152,-73.89976501
00:21.0,11:14.0,40.73120117,-73.98587036,40.70626068,-74.01638031
00:21.0,07:17.0,40.75898361,-73.98112488,40.76386642,-73.96212006
00:21.0,05:19.0,40.74543762,-73.97839355,40.73823547,-73.98368073
00:21.0,13:41.0,40.72362137,-73.98525238,40.72429657,-73.94933319
00:21.0,08:51.0,40.75922775,-73.98569489,40.74750519,-73.98590088
00:21.0,11:40.0,40.71086121,-74.01596069,40.74379349,-74.00687408
00:22.0,04:48.0,40.777771,-73.9519043,40.76856995,-73.95796967
